image,detected,num_hands,selected_hand,is_right,mean_err_px,median_err_px,max_err_px,max_err_joint,csv
sample_0000_right_ZY20210800001_H1_C1_N19_S100_s02_T1_f000000.jpg,True,1,0,True,14.112192720338246,9.426728392100348,46.886233462728896,20,hoi4d_samples2/wilor_vs_gt_2djoints/csv/sample_0000_right_ZY20210800001_H1_C1_N19_S100_s02_T1_f000000_wilor_vs_gt.csv
sample_0001_right_ZY20210800001_H1_C1_N19_S100_s02_T1_f000042.jpg,True,1,0,True,17.740497549763457,13.735621734386724,40.035243345010116,20,hoi4d_samples2/wilor_vs_gt_2djoints/csv/sample_0001_right_ZY20210800001_H1_C1_N19_S100_s02_T1_f000042_wilor_vs_gt.csv
sample_0002_right_ZY20210800001_H1_C1_N19_S100_s02_T1_f000085.jpg,True,1,0,True,28.34075623635792,26.90423708734256,43.05007849298747,20,hoi4d_samples2/wilor_vs_gt_2djoints/csv/sample_0002_right_ZY20210800001_H1_C1_N19_S100_s02_T1_f000085_wilor_vs_gt.csv
sample_0003_right_ZY20210800001_H1_C1_N19_S100_s02_T1_f000128.jpg,True,1,0,True,26.651912317565483,25.733748551973804,48.853565226257345,17,hoi4d_samples2/wilor_vs_gt_2djoints/csv/sample_0003_right_ZY20210800001_H1_C1_N19_S100_s02_T1_f000128_wilor_vs_gt.csv
sample_0004_right_ZY20210800001_H1_C1_N19_S100_s02_T1_f000170.jpg,True,1,0,True,17.01190817877159,12.291928779927657,48.058751243943135,20,hoi4d_samples2/wilor_vs_gt_2djoints/csv/sample_0004_right_ZY20210800001_H1_C1_N19_S100_s02_T1_f000170_wilor_vs_gt.csv
sample_0005_right_ZY20210800001_H1_C2_N11_S212_s03_T2_f000019.jpg,False,0,-1,,nan,nan,nan,-1,
sample_0006_right_ZY20210800001_H1_C2_N11_S212_s03_T2_f000054.jpg,True,1,0,True,16.81410597249465,13.352351446737087,45.8272384011292,20,hoi4d_samples2/wilor_vs_gt_2djoints/csv/sample_0006_right_ZY20210800001_H1_C2_N11_S212_s03_T2_f000054_wilor_vs_gt.csv
sample_0007_right_ZY20210800001_H1_C2_N11_S212_s03_T2_f000089.jpg,True,1,0,True,22.48079210907754,21.77503138184339,54.85741323991249,20,hoi4d_samples2/wilor_vs_gt_2djoints/csv/sample_0007_right_ZY20210800001_H1_C2_N11_S212_s03_T2_f000089_wilor_vs_gt.csv
sample_0008_right_ZY20210800001_H1_C2_N11_S212_s03_T2_f000124.jpg,True,1,0,True,25.338542513306,20.183108156618644,64.54739172850316,20,hoi4d_samples2/wilor_vs_gt_2djoints/csv/sample_0008_right_ZY20210800001_H1_C2_N11_S212_s03_T2_f000124_wilor_vs_gt.csv
sample_0009_right_ZY20210800001_H1_C2_N11_S212_s03_T2_f000159.jpg,True,1,0,True,8.562774221393045,9.097019451919827,15.287525141252608,3,hoi4d_samples2/wilor_vs_gt_2djoints/csv/sample_0009_right_ZY20210800001_H1_C2_N11_S212_s03_T2_f000159_wilor_vs_gt.csv
sample_0010_right_ZY20210800001_H1_C3_N01_S54_s05_T2_f000000.jpg,True,1,0,True,7.514360428960112,6.893109608094836,20.66999629705765,1,hoi4d_samples2/wilor_vs_gt_2djoints/csv/sample_0010_right_ZY20210800001_H1_C3_N01_S54_s05_T2_f000000_wilor_vs_gt.csv
sample_0011_right_ZY20210800001_H1_C3_N01_S54_s05_T2_f000041.jpg,True,1,0,True,14.406154498232368,12.332684812998787,33.43243689484953,0,hoi4d_samples2/wilor_vs_gt_2djoints/csv/sample_0011_right_ZY20210800001_H1_C3_N01_S54_s05_T2_f000041_wilor_vs_gt.csv
sample_0012_right_ZY20210800001_H1_C3_N01_S54_s05_T2_f000091.jpg,True,1,0,True,19.531882192484453,17.055474789997426,34.84750903603809,9,hoi4d_samples2/wilor_vs_gt_2djoints/csv/sample_0012_right_ZY20210800001_H1_C3_N01_S54_s05_T2_f000091_wilor_vs_gt.csv
sample_0013_right_ZY20210800001_H1_C3_N01_S54_s05_T2_f000133.jpg,True,1,0,True,15.379342627321241,14.26384308299728,34.69520196809022,2,hoi4d_samples2/wilor_vs_gt_2djoints/csv/sample_0013_right_ZY20210800001_H1_C3_N01_S54_s05_T2_f000133_wilor_vs_gt.csv
sample_0014_right_ZY20210800001_H1_C3_N01_S54_s05_T2_f000174.jpg,True,1,0,True,7.742656162371937,6.508328608532736,16.81769109773112,16,hoi4d_samples2/wilor_vs_gt_2djoints/csv/sample_0014_right_ZY20210800001_H1_C3_N01_S54_s05_T2_f000174_wilor_vs_gt.csv
sample_0015_right_ZY20210800001_H1_C5_N15_S57_s03_T1_f000022.jpg,False,0,-1,,nan,nan,nan,-1,
sample_0016_right_ZY20210800001_H1_C5_N15_S57_s03_T1_f000061.jpg,True,1,0,True,19.35400918411353,15.841583016529606,51.92996944665446,20,hoi4d_samples2/wilor_vs_gt_2djoints/csv/sample_0016_right_ZY20210800001_H1_C5_N15_S57_s03_T1_f000061_wilor_vs_gt.csv
sample_0017_right_ZY20210800001_H1_C5_N15_S57_s03_T1_f000101.jpg,True,1,0,True,27.748080829859997,25.903612458417946,75.81415668096149,20,hoi4d_samples2/wilor_vs_gt_2djoints/csv/sample_0017_right_ZY20210800001_H1_C5_N15_S57_s03_T1_f000101_wilor_vs_gt.csv
sample_0018_right_ZY20210800001_H1_C5_N15_S57_s03_T1_f000140.jpg,True,1,0,True,33.877545097489346,33.72104926573794,87.92386382283775,20,hoi4d_samples2/wilor_vs_gt_2djoints/csv/sample_0018_right_ZY20210800001_H1_C5_N15_S57_s03_T1_f000140_wilor_vs_gt.csv
sample_0019_right_ZY20210800001_H1_C5_N15_S57_s03_T1_f000180.jpg,True,1,0,True,10.535537738401658,8.627841244143335,23.16860772259753,12,hoi4d_samples2/wilor_vs_gt_2djoints/csv/sample_0019_right_ZY20210800001_H1_C5_N15_S57_s03_T1_f000180_wilor_vs_gt.csv
sample_0020_right_ZY20210800001_H1_C7_N11_S270_s03_T1_f000020.jpg,False,0,-1,,nan,nan,nan,-1,
sample_0021_right_ZY20210800001_H1_C7_N11_S270_s03_T1_f000055.jpg,True,1,0,True,8.006574531363047,8.270973841957424,16.425882393597014,16,hoi4d_samples2/wilor_vs_gt_2djoints/csv/sample_0021_right_ZY20210800001_H1_C7_N11_S270_s03_T1_f000055_wilor_vs_gt.csv
sample_0022_right_ZY20210800001_H1_C7_N11_S270_s03_T1_f000091.jpg,True,1,0,True,17.131078773833536,12.826203569419834,36.031454393465914,20,hoi4d_samples2/wilor_vs_gt_2djoints/csv/sample_0022_right_ZY20210800001_H1_C7_N11_S270_s03_T1_f000091_wilor_vs_gt.csv
sample_0023_right_ZY20210800001_H1_C7_N11_S270_s03_T1_f000126.jpg,True,1,0,True,28.835363361699738,30.289625794046,50.982987744925914,16,hoi4d_samples2/wilor_vs_gt_2djoints/csv/sample_0023_right_ZY20210800001_H1_C7_N11_S270_s03_T1_f000126_wilor_vs_gt.csv
sample_0024_right_ZY20210800001_H1_C7_N11_S270_s03_T1_f000173.jpg,True,1,0,True,15.26382280659295,13.183219414518135,33.90413671886749,0,hoi4d_samples2/wilor_vs_gt_2djoints/csv/sample_0024_right_ZY20210800001_H1_C7_N11_S270_s03_T1_f000173_wilor_vs_gt.csv
sample_0025_right_ZY20210800001_H1_C12_N11_S169_s03_T1_f000032.jpg,False,0,-1,,nan,nan,nan,-1,
sample_0026_right_ZY20210800001_H1_C12_N11_S169_s03_T1_f000065.jpg,True,1,0,True,7.7475271424771215,7.818193978774128,18.27037543036241,17,hoi4d_samples2/wilor_vs_gt_2djoints/csv/sample_0026_right_ZY20210800001_H1_C12_N11_S169_s03_T1_f000065_wilor_vs_gt.csv
sample_0027_right_ZY20210800001_H1_C12_N11_S169_s03_T1_f000098.jpg,True,1,0,True,19.045553812693033,13.478223395347747,57.3953390018536,16,hoi4d_samples2/wilor_vs_gt_2djoints/csv/sample_0027_right_ZY20210800001_H1_C12_N11_S169_s03_T1_f000098_wilor_vs_gt.csv
sample_0028_right_ZY20210800001_H1_C12_N11_S169_s03_T1_f000131.jpg,True,1,0,True,19.678076408253997,16.9189213955973,44.224906589046924,16,hoi4d_samples2/wilor_vs_gt_2djoints/csv/sample_0028_right_ZY20210800001_H1_C12_N11_S169_s03_T1_f000131_wilor_vs_gt.csv
sample_0029_right_ZY20210800001_H1_C12_N11_S169_s03_T1_f000190.jpg,False,0,-1,,nan,nan,nan,-1,
sample_0030_right_ZY20210800001_H1_C13_N11_S132_s03_T1_f000026.jpg,False,0,-1,,nan,nan,nan,-1,
sample_0031_right_ZY20210800001_H1_C13_N11_S132_s03_T1_f000059.jpg,True,1,0,True,9.816699031416075,9.481224562958799,21.509696608501688,0,hoi4d_samples2/wilor_vs_gt_2djoints/csv/sample_0031_right_ZY20210800001_H1_C13_N11_S132_s03_T1_f000059_wilor_vs_gt.csv
sample_0032_right_ZY20210800001_H1_C13_N11_S132_s03_T1_f000093.jpg,True,1,0,True,20.212849273495838,19.105076633255905,43.82064928056993,20,hoi4d_samples2/wilor_vs_gt_2djoints/csv/sample_0032_right_ZY20210800001_H1_C13_N11_S132_s03_T1_f000093_wilor_vs_gt.csv
sample_0033_right_ZY20210800001_H1_C13_N11_S132_s03_T1_f000127.jpg,True,1,0,True,20.902473577130188,17.37245209797782,48.56264087437635,16,hoi4d_samples2/wilor_vs_gt_2djoints/csv/sample_0033_right_ZY20210800001_H1_C13_N11_S132_s03_T1_f000127_wilor_vs_gt.csv
sample_0034_right_ZY20210800001_H1_C13_N11_S132_s03_T1_f000178.jpg,True,1,0,True,16.979866899121152,12.974989794601257,44.78025421322689,8,hoi4d_samples2/wilor_vs_gt_2djoints/csv/sample_0034_right_ZY20210800001_H1_C13_N11_S132_s03_T1_f000178_wilor_vs_gt.csv
sample_0035_right_ZY20210800001_H1_C14_N15_S158_s02_T1_f000032.jpg,False,0,-1,,nan,nan,nan,-1,
sample_0036_right_ZY20210800001_H1_C14_N15_S158_s02_T1_f000064.jpg,True,1,0,True,16.668472681608623,13.147837213196478,50.14313139094076,20,hoi4d_samples2/wilor_vs_gt_2djoints/csv/sample_0036_right_ZY20210800001_H1_C14_N15_S158_s02_T1_f000064_wilor_vs_gt.csv
sample_0037_right_ZY20210800001_H1_C14_N15_S158_s02_T1_f000096.jpg,True,1,0,True,26.066519231627705,20.85517476866548,65.17773685479322,16,hoi4d_samples2/wilor_vs_gt_2djoints/csv/sample_0037_right_ZY20210800001_H1_C14_N15_S158_s02_T1_f000096_wilor_vs_gt.csv
sample_0038_right_ZY20210800001_H1_C14_N15_S158_s02_T1_f000128.jpg,True,1,0,True,13.4090074574074,10.912049591388191,42.18112279433078,20,hoi4d_samples2/wilor_vs_gt_2djoints/csv/sample_0038_right_ZY20210800001_H1_C14_N15_S158_s02_T1_f000128_wilor_vs_gt.csv
sample_0039_right_ZY20210800001_H1_C14_N15_S158_s02_T1_f000183.jpg,True,1,0,True,17.26719037894666,10.89545141436115,52.89797811910127,0,hoi4d_samples2/wilor_vs_gt_2djoints/csv/sample_0039_right_ZY20210800001_H1_C14_N15_S158_s02_T1_f000183_wilor_vs_gt.csv
sample_0040_right_ZY20210800001_H1_C20_N18_S286_s01_T1_f000030.jpg,False,0,-1,,nan,nan,nan,-1,
sample_0041_right_ZY20210800001_H1_C20_N18_S286_s01_T1_f000059.jpg,True,2,0,True,22.719687166147814,19.92228391826048,56.89858766533614,16,hoi4d_samples2/wilor_vs_gt_2djoints/csv/sample_0041_right_ZY20210800001_H1_C20_N18_S286_s01_T1_f000059_wilor_vs_gt.csv
sample_0042_right_ZY20210800001_H1_C20_N18_S286_s01_T1_f000088.jpg,True,2,0,True,33.689529928318095,32.57375675458877,57.03370316419051,16,hoi4d_samples2/wilor_vs_gt_2djoints/csv/sample_0042_right_ZY20210800001_H1_C20_N18_S286_s01_T1_f000088_wilor_vs_gt.csv
sample_0043_right_ZY20210800001_H1_C20_N18_S286_s01_T1_f000117.jpg,True,2,0,True,34.09233904475611,34.29004939644631,63.038036332883074,16,hoi4d_samples2/wilor_vs_gt_2djoints/csv/sample_0043_right_ZY20210800001_H1_C20_N18_S286_s01_T1_f000117_wilor_vs_gt.csv
sample_0044_right_ZY20210800001_H1_C20_N18_S286_s01_T1_f000162.jpg,True,2,0,True,10.582273288427896,9.31793137068938,29.41589005809913,0,hoi4d_samples2/wilor_vs_gt_2djoints/csv/sample_0044_right_ZY20210800001_H1_C20_N18_S286_s01_T1_f000162_wilor_vs_gt.csv
sample_0045_right_ZY20210800002_H2_C1_N01_S336_s02_T1_f000000.jpg,True,1,0,True,8.202358612244447,6.931139880065354,20.11882715607789,1,hoi4d_samples2/wilor_vs_gt_2djoints/csv/sample_0045_right_ZY20210800002_H2_C1_N01_S336_s02_T1_f000000_wilor_vs_gt.csv
sample_0046_right_ZY20210800002_H2_C1_N01_S336_s02_T1_f000042.jpg,True,1,0,True,14.45663735052468,14.557287472318842,36.446551141409635,16,hoi4d_samples2/wilor_vs_gt_2djoints/csv/sample_0046_right_ZY20210800002_H2_C1_N01_S336_s02_T1_f000042_wilor_vs_gt.csv
sample_0047_right_ZY20210800002_H2_C1_N01_S336_s02_T1_f000085.jpg,True,1,0,True,13.95547667806617,14.828927240989415,31.544450685747925,16,hoi4d_samples2/wilor_vs_gt_2djoints/csv/sample_0047_right_ZY20210800002_H2_C1_N01_S336_s02_T1_f000085_wilor_vs_gt.csv
sample_0048_right_ZY20210800002_H2_C1_N01_S336_s02_T1_f000128.jpg,True,1,0,True,14.452380066691687,11.574737203124606,40.83514951639354,16,hoi4d_samples2/wilor_vs_gt_2djoints/csv/sample_0048_right_ZY20210800002_H2_C1_N01_S336_s02_T1_f000128_wilor_vs_gt.csv
sample_0049_right_ZY20210800002_H2_C1_N01_S336_s02_T1_f000170.jpg,True,1,0,True,7.610460109464216,7.5347207372668095,15.49159396271047,20,hoi4d_samples2/wilor_vs_gt_2djoints/csv/sample_0049_right_ZY20210800002_H2_C1_N01_S336_s02_T1_f000170_wilor_vs_gt.csv
